[1644102000] LOG ROTATION; DAILY;;;;;;;;;;
[1644102000] LOG VERSION; 2.0;;;;;;;;;;
[1644102000] CURRENT HOST STATE; localhost;UP;HARD;1;PING OK -  Paquets perdus = 0%, RTA = 0.11 ms;;;;;;
[1644102000] CURRENT SERVICE STATE; localhost;Current Load;OK;HARD;1;OK - Charge moyenne; 0.21, 0.91, 1.14;;;;
[1644102000] CURRENT SERVICE STATE; localhost;Current Users;OK;HARD;1;UTILISATEURS OK - 3 utilisateurs actuellement connect̩s sur;;;;;
[1644102000] CURRENT SERVICE STATE; localhost;HTTP;OK;HARD;1;HTTP OK; HTTP/1.1 302 Found - 420 octets en 0,001 secondes de temps de r̩ponse;;;;
[1644102000] CURRENT SERVICE STATE; localhost;PING;OK;HARD;1;PING OK -  Paquets perdus = 0%, RTA = 0.09 ms;;;;;
[1644102000] CURRENT SERVICE STATE; localhost;Root Partition;OK;HARD;1;DISK OK - free space; / 30509 MB (59% inode=97%);;;;
[1644102000] CURRENT SERVICE STATE; localhost;SSH;OK;HARD;1;SSH OK - OpenSSH_7.4 (protocol 2.0);;;;;
[1644102000] CURRENT SERVICE STATE; localhost;Swap Usage;OK;HARD;1;SWAP OK - 4% libre (130 MB sur un total de 3711 MB);;;;;
[1644102000] CURRENT SERVICE STATE; localhost;Total Processes;OK;HARD;1;PROCS OK; 71 processus avec ETAT = RSZDT;;;;
[1644105572] Auto-save of retention data completed successfully.;;;;;;;;;;;
[1644105914] SERVICE ALERT; localhost;Swap Usage;CRITICAL;SOFT;1;SWAP CRITICAL - 0% libre (0 MB sur un total de 3711 MB);;;;;
[1644105974] SERVICE ALERT; localhost;Swap Usage;OK;SOFT;2;SWAP OK - 1% libre (0 MB sur un total de 3711 MB);;;;;
[1644108374] SERVICE ALERT; localhost;Swap Usage;CRITICAL;SOFT;1;SWAP CRITICAL - 0% libre (0 MB sur un total de 3711 MB);;;;;
